Recipe Name,Ingredients,Time to cook,Cuisine,Instructions,Cleaned-Ingredients,Ingredient-count,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Chole Masala Recipe - Dry Masala Chickpeas (Recipe)," oil - as per use, 1 teaspoon cumin seeds, 2 teaspoon Amchoor powder, 2 teaspoons chana masala powder, 1/4 teaspoon ginger-paste,1 cup Kabuli Channa - Soak it overnight and then boil it, 1 tablespoon Coriander powder, salt - as per taste, 1/4 teaspoon turmeric powder, 2 teaspoons red chilli powder, 1/4 teaspoon Spoon cumin powder",40,Punjabi,"To make Chole Masala, first of all, cook Kabuli Chana in a pressure cooker till 3 years.
Take water out of it and keep it aside.
Now heat oil in a pan and add cumin seeds.
After 10 seconds, add ginger to it and cook for 30 seconds.
Now add chola masala, red chilli powder, mango powder, turmeric powder, coriander powder, cumin powder and salt.
Cook for 1 to 2 minutes and then add the cooked gram.
Mix well and cook for another minute.
Turn off the gas and garnish with green coriander.
Serve Chole Masala with Puri and Tomato Onion Cucumber Raita.","turmeric powder,salt,gingerpaste,red chilli powder,kabuli channa soak then boil,spoon cumin powder,amchoor powder,oil,coriander powder,chana masala powder,cumin seeds",11,135.07,3.3,9.08,9.54,2.27,0.86,83.47,112.25,1.39,1.87,15.19
Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe," 1 teaspoon Cumin Powder - Baked, 2 inch Ginger - Grated, 5 Tomatoes,7 Potatoes - Chopped, 1 teaspoon Red Chilli Powder, 350 gms Cheese - Chopped, Salt - As per taste, oil - Green coriander - Finely chopped according to use, 1 teaspoon Coriander Powder, 2 Green Chillies",80,North Indian Recipes,"To make Aloo Paneer Curry, firstly grind tomatoes, ginger and green chillies in a blender.
Keep it separately.
Heat the oil in a pressure cooker and add grated ginger to it.
Cook it for 1 minute.
Add tomato puree to it and cook for at least 10 minutes.
Now add red chili powder, coriander powder and salt.
Cook it well for the next 5 minutes.
Add potatoes and cook for 2 minutes.
After 2 minutes add 2 cups of water and roasted cumin seeds.
Close the cooker and cook till one city comes.
After coming to a city, turn off the gas and let the pressure drain.
Open the cooker and let the curry boil.
Add pieces of pannaer, cook for 2 minutes and garnish with green coriander.","tomato,salt per,gms cheese,ginger grated,red chilli powder,coriander powder,potatoes,oil coriander (dhania) leaves finely,green chillies,cumin powder baked",10,176.52,8.4,7.8,12.38,6.29,1.4,216.09,189.06,0.81,20.04,95.56
Cauliflower Matar Bhurji (Recipe in Hindi)," coriander leaves - little, 1 teaspoon red chilli powder, 1 onion - finely chopped, 1 teaspoon ginger garlic paste,1 cabbage, 1 cup green peas, 1/2 teaspoon garam masala powder , 1/4 teaspoon turmeric powder, 1-1 / 2 tablespoon oil, salt - as per use, 3 green chillies, 1 tomato - finely chopped",45,Indian,"To make cabbage pea bhurji, first boil water.
Add cabbage pieces to it and keep it aside for 10 minutes.
Remove water from it and finely chop it.
Now put it in the food processor and bark at once.
Now heat oil in a pan.
Add grated cauliflower and fry it for 5 minutes.
Keep it separately.
Now heat oil in another pan and add finely chopped onions.
Cook till the onion becomes soft and then add ginger garlic paste.
Cook for 1 minute and then add tomatoes to it.
Cook till the tomatoes are soft and then add peas, turmeric powder, red chili powder and salt.
Let it cook for 5 minutes.
Cover the pan and cook until the cauliflower is cooked.
Add some garam masala, mix and serve hot.
Serve cabbage peas bhurji with dal fry and tawa paratha for dinner.","tomato,turmeric powder,salt,coriander leaves,red chilli powder,ginger garlic paste,onion,oil,green chillies,green peas,garam masala powder,cabbage",12,90.95,3.97,5.21,5.88,1.47,2.4,194.22,100.19,0.92,71.55,88.46
Aromatic Vegetable Pulao Recipe,"1 teaspoon Garam masala powder,1/4 cup Green Bell Pepper (Capsicum) - chopped,1/4 cup Potato (Aloo) - cut into small cubes,2 Cardamom (Elaichi) Pods/Seeds,1 Star anise,1 inch Cinnamon Stick (Dalchini),1 Onion - chopped,4 tablespoons Sunflower Oil,1/4 teaspoon Red Chilli powder,1/4 cup Carrots (Gajjar) - chopped,Coriander (Dhania) Leaves - a small bunch finely chopped,Mint Leaves (Pudina) - a few sprigs finely chopped,Salt - to taste,1 tablespoon Ginger Garlic Paste,2 Cloves (Laung),2 cups Rice,1/4 cup Green peas (Matar) - steamed,1 Tomato - chopped",50,Indian,"To begin making the Aromatic Vegetable Pulao recipe, wash and soak rice for at least 30 minutes.
Drain the water and keep it aside.Heat oil in a sauce pan and add onions, whole spices and cook until the onion turns golden brown.Meanwhile add 4 cups of water in a different saucepan and bring it to rolling boil.Add ginger garlic paste and tomatoes with the onions and whole spices.
Let it cook until the tomatoes are soft and mushy.Once the tomatoes are soft, add all the remaining spices and veggies and cook for a minute.
After a minute, add the hot water to the veggies.Add the soaked rice into the pan and cover it with a lid.
Let it cook till the rice is 3/4 cooked and the turn the flame to low heat.Cook it for few more minutes till the rice is almost done and it is ready to be served.Serve Aromatic Vegetable Pulao along with Burani Raita, Raw Mango Raita or any other raita of your choice.","tomato,coriander (dhania),salt,star anise,rice,cardamom (elaichi) podsseeds,potato (aloo),red chilli powder,green peas (matar),carrot,ginger garlic paste,mint leaves (pudina),onion,cinnamon stick (dalchini),green bell pepper (capsicum),cloves (laung),garam masala powder,sunflower oil",18,113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63
Mustard Vegetable Curry Recipe," 2 carrots - cut round thinly, 1 teaspoon cumin seeds, 2 cloves garlic - grated, 1 teaspoon red chilli powder, 1 cup vegetable Stock, 2 potatoes - boiled, 2 tablespoons Dijon Mustard, 1/4 cup green peas - steam, salt - as per taste, 1/2 teaspoon turmeric powder, 1/2 cup coconut milk,2 teaspoons oil, 5 green beans - cut into small pieces, 2 onions - finely chopped",50,Indian,"To make the mustard vegetable curry, first of all steam the vegetables and keep them aside.
Now heat oil in a pan.
Add cumin, garlic, onion and cook till the onion becomes soft.
After the onion softens, add turmeric powder, red chili powder and mix it for 30 seconds.
After that add coconut milk, vegetable stock and Dijon mustard.
After 1 minute add salt, all the vegetables in it, cover the pan and let it cook for 3 to 4 minutes.
Turn off the gas and serve hot.
Serve mustard vegetable curry with spinach raita and tawa paratha for dinner.","turmeric powder,salt,vegetable stock,green peas,red chilli powder,cloves garlic,carrot,green beans,onion,oil,potatoes,coconut milk,dijon mustard,cumin seeds",14,174.21,36.02,4.7,0.94,27.36,1.93,34.94,90.06,2.27,8.48,36.84
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,"1-1/2 cups Cauliflower (gobi) - florets,1 inch Cinnamon Stick (Dalchini),Salt - to taste,2 Cardamom (Elaichi) Pods/Seeds,2 Green Chillies - slit,2 cloves Garlic - grated,10 Green beans (French Beans) - diced small,1 Ginger,2 Carrots (Gajjar) - diced small,2 Cloves (Laung),1 Bay leaf (tej patta),120 ml Coconut milk,1 teaspoon Turmeric powder (Haldi),2 tablespoons Ghee,1 cup Basmati rice - (or any other rice)",40,Indian,"To begin making the Spicy Vegetable Pulav with Coconut Milk, we will first wash the rice under water and keep it aside.Keep the coconut milk, vegetable chopped and the spices ready by the side.
We will be making the pulav in one pot and cooking it in a Pressure Cooker.
If you dont have a pressure cooker, then you can proceed with the same intructions and cook in a Sauce Pan.Pound the ginger and garlic in a pestle and mortar and keep aside.Into the pressure cooker or the sauce pan, add in the a teaspoon of oil and add in the ginger garlic paste.
Saute for a few seconds and add in the cloves, cardamom, cinnamon and bay leaf.Next add in the vegetables, green chillies, rice, turmeric powder, salt and coconut milk.
Add an additional cup of water and stir all the ingredients and cover the pressure cooker (saucepan).*Method Sauce Pan:Turn the heat to high and allow the pulao mixture to come to a boil.
Once it comes to a boil, turn the heat to low, cover the pan and simmer the rice until the pulao absorbs all the water.Once all the water is absorbed turn off the heat and allow the pulao to rest for at least 10 minutes, this will help the rice to become a little stiff and remain as grains.*Method Pressure Cooker:Turn the heat to high, place the weight on cook on high until you hear a couple of whistles.
After a couple of whistles, turn the heat to low and simmer for about 3 minutes and then turn off the heat.
 Allow the pressure to release naturally as the the rice will continue to cook in the pressure cooker.
 Once the pressure is released you can open the cooker and proceed to the next steps.Finally stir in the ghee and serve the Spicy Vetegetable Pulav hot along with a Raita or Kadhi.Serve One Pot Spicy Vegetable Pulao Recipe with Coconut Milk along with Boondi Raita and a roasted Papad for your weekend meal.","salt,green beans (french beans),ginger,cardamom (elaichi) podsseeds,bay leaf (tej patta),ghee,cloves garlic,carrot,cinnamon stick (dalchini),rice,cloves (laung),coconut milk,turmeric powder,green chillies,cauliflower (gobi) florets",15,83.07,7.19,2.77,4.66,1.41,3.35,43.4,19.63,0.95,69.6,87.67
Bengali Aloo Dum Recipe - Bengali Aloo Dum Recipe," 1/2 cup tomato puree, 1/2 cup yogurt, 1 tsp coriander powder, oil - as per use, 3 cloves garlic, 1 onion - chopped, 1 bay leaf, 2 tsp turmeric powder, 1 tsp sugar, 1 tsp garam masala powder, 1 inch cinnamon, 2 cardamom, 1 stock green coriander - finely chopped, 2 long, salt - as per taste, 1 inch ginger - chopped, 2 green chillies - chopped,200 grams small potatoes - boil and remove the skin, 1 tsp red chilli powder",70,Bengali Recipes,"To make Bengali Aloo Dum recipe, first of all, add onion, ginger, green chilli, garlic and make a paste in a blender.
Keep it aside.
Now heat oil in a pan.
Now add boiled potatoes, turmeric powder, salt and cook till golden brown.
Now put in a bowl and keep it aside.
Heat a little more oil in the same oil.
Add onion, ginger, garlic paste and cook the paste for 4 minutes.
Now add cinnamon, long, bay leaves and cook for 2 to 3 minutes.
Add tomato puree, turmeric powder, coriander powder, garam masala powder and cook for 2 minutes.
Now add curd to it and mix it.
After 1 minute add potatoes, sugar, salt, mix and cover the pan.
Let it cook on low heat for 20 minutes.
Keep mixing in the bitches so that the spices do not stick down.
Turn off the gas after 20 minutes, garnish with green coriander and serve.
Serve Bengali Aloo Dum Recipe along with Bengali Luchis, Cholar Dal and Gourd Raita for dinner.","turmeric powder,tomato,salt,stock coriander (dhania) leaves,ginger,yogurt,cinnamon,red chilli powder,cloves garlic,bay leaf,sugar,onion,potatoes boil remove the skin,cardamom,coriander powder,oil,green chillies,garam masala powder",18,682.33,3.33,0.7,74.01,0.71,0.68,183.85,16.49,0.36,29.39,34.41
Hyderabad Soy Biryani Recipe With Vegetables & Palak,"2 cups Basmati rice - soaked for 30 minutes,1/4 Mace (Javitri),Ghee - as needed,5 Badam (Almond),2 teaspoon Garam masala powder,1/4 cup Cauliflower (gobi) - chopped,1 teaspoon Red Chilli powder,3 Potatoes (Aloo) - cubed,1/4 cup Soy Chunks (Nuggets) - soaked in hot water for 15 minutes,1/4 cup Green beans (French Beans) - chopped,1 Cloves (Laung),3 Green Chillies,Salt - to taste,1/4 cup Green Bell Pepper (Capsicum) - chopped,1/4 teaspoon Cumin seeds (Jeera),1/2 cup Milk,1/2 cup Coriander (Dhania) Leaves,3 Cardamom (Elaichi) Pods/Seeds,4 Onions - chopped,1/2 teaspoon Ajwain (Carom seeds),1/4 cup Green peas (Matar),1/2 cup Mint Leaves (Pudina),1/4 cup Mint Leaves (Pudina) - roughly torn,2 inch Cinnamon Stick (Dalchini),2 Tomatoes - chopped,1 Black cardamom (Badi Elaichi),3 Cloves (Laung),1/2 teaspoon Turmeric powder (Haldi),1/4 cup Coriander (Dhania) Leaves - chopped,2 cups Onions - sliced,1 inch Cinnamon Stick (Dalchini),1 Cardamom (Elaichi) Pods/Seeds,8 cups Water,1-1/2 cups Spinach Leaves (Palak) - or 1 bunch,7 Saffron strands,2 tablespoons Ginger Garlic Paste,Sunflower Oil - to cook,1-1/2 teaspoon Coriander Powder (Dhania),1 Bay leaf (tej patta),1/4 cup Carrots (Gajjar) - chopped",90,Hyderabadi,"To begin making Hyderabad Soy Biryani Recipe With Vegetables & Palak, wash rice well and soak for half an hour.In a handi, boil water, almost  triple the quantity of rice or more, with salt and the whole spices mentioned above.
When the water comes to a boil, add the soaked rice and cook till almost done.
When almost a bite remains in the grains, drain the rice in a sieve.
Keep aside.
Warm a bowl of milk in a saucepan, and soak the saffron in it and keep aside till required.
In the meantime, heat a kadai with a bit of oil and on high heat, caramelise the onions with sprinkling some salt on it and sauteing them.
Keep aside.Now in the same kadai, with a bit of oil heated, add the potatoes and cook till they are shallow fried and crisp-cooked, season with salt and keep aside till required for layering.In another vessel, bring enough water to boil to cook the remaining vegetables except the capsicum.
Add the cauliflower first to the boiling water.
After about 6 minutes or when the cauliflower is softened half-way through, add the rest of the vegetables.
When almost done, drain from the clear stock and keep aside.
Reserve and use this water for making soups if you wish.
Take off soy chunks off the hot water, wash thoroughly and squeeze tightly to discard any extra water.
For the biryani, in another vessel heat oil and add to it all the whole spices mentioned and saute till aromatic.
Now add the remaining half of the chopped onions and saute on high flame.
Add a bit of salt to it.
Add the chopped capsicum too.
When onions turn translucent, add ginger garlic paste and saute well for a minute till the raw smell vanishes.
Now add turmeric and the chopped tomatoes.
Mix well and cover and cook for a while.
Add all the other dry spice powders and mix well.Meanwhile in a mixer grinder, puree the palak with other mentioned ingredients for palak puree.
Add the palak puree and mix well.
Keep stirring on high flame for a while.
Now add the beaten curds to the gravy and stir continuously on high flame.
Add the soya chunks and mix well.
Cover and cook.
After a few minutes, add the boiled and drained vegetables, and adjust salt to taste.
Mix well.
 Adjust seasoning or masalas now.
Add most of the fried onions reserving little for layering and garnishing.
When all the water has evaporated and the gravy has thickened, switch of heat.
Keep a thick griddle to heat on the stove top.
Place a handi on the griddle, just to ensure the even heat distribution such that the bottom of the biryani doesn't get burnt.
Now in the handi, start layering the biryani.
Start with spreading half the gravy at the bottom.
Cover with some cooked rice.
Spread some ghee, fried onions, potato cubes, coriander leaves and mint leaves over it.
Repeat layering so that you finish with caramelised onions on top most layer..
Make four vertical holes in the biryani with the handle of a spoon and pour saffron milk into it.
Cover the vessel with aluminium foil and shut the lid tightly over it.
Keep vessel on medium heat for dum.
Keep on high heat for first 3 minutes and then on a low heat for about 6-7 minutes.
Keep covered for few more minutes.
Open the lid and mix a bit or serve in layers.
Serve Hyderabad Soy Biryani Recipe With Vegetables & Palak along with Burani Raita Recipe (Garlic Based Yogurt), Pickled Onions Recipe, and Saunf Aloo & Dal Kebab Recipe (Potato & Lentil Kebabs).","tomato,basmati rice,coriander (dhania) leaves,ajwain (carom seeds),carrot,onion,cumin seeds (jeera),soy (nuggets),turmeric powder,green chillies,sunflower oil,salt,black cardamom (badi elaichi),spinach leaves (palak) bunch,cardamom (elaichi) podsseeds,mace (javitri),mint leaves (pudina),garam masala powder,green beans (french beans),cauliflower (gobi),red chilli powder,water,bay leaf (tej patta),ghee,milk,saffron strands,green peas (matar),ginger garlic paste,cinnamon stick (dalchini),badam (almond),green bell pepper (capsicum),coriander powder,potato (aloo),cloves (laung)",34,49.23,5.9,1.71,2.16,1.37,0.66,40.78,32.89,0.57,179.9,286.76
Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),"1-1/2 cups Curd (Dahi / Yogurt),1/2 Turmeric powder (Haldi),1/2 teaspoon Garlic - finely chopped,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1/3 teaspoon Asafoetida (hing),1 teaspoon Red Chilli powder,4 tablespoons Sunflower Oil,1/2 teaspoon Ginger - finely chopped,1 Onion - finely chopped,2 tablespoons Gram flour (besan),1-1/2 teaspoon Coriander Powder (Dhania),2 Green Chillies - chopped,Coriander (Dhania) Leaves - chopped or garnish,1 sprig Curry leaves,4 Potatoes (Aloo) - chopped",55,North Indian Recipes,"To begin making Dahi Wale Aloo Recipe, first wash the potatoes thoroughly.
Then pressure cook them till they are cooked soft, but not completely mushy.
You can follow this method to learn how to pressure cook them.Once the pressure has released from the cooker, open the line, drain the water and allow the potatoes to cool.
Then, peel them and roughly break into chunks.In a large bowl, add curd and besan with a little water and whisk them together to make a smooth batter.
There should not be any lumps in the curds.
Whisk till it is smooth and then set aside.In a wok or kadhai, warm some oil.
Add cumin seeds and hing.
As soon as cumin begins to crackle, add finely chopped onion and saute till the onions soften.Next add the finely chopped ginger, garlic and green chilies along with the curry leaves and toss them all together for a couple of minutes.Add the red chilli powder, coriander powder and turmeric and saute the masala well until it is cooked through and begins to release oil from the sides.
If you find the masala sticking at this stage, add a little water (2 tablespoons) in it and toss well.Add the potatoes to the masala and mix again till the potatoes are well-coated.Turn the heat to low and start pouring the beaten curd over the potatoes.
Mix well.
Adjust salt as per your taste and close the lid to allow the curry to simmer for 5 minutes.Once done, turn the heat off, garnish with coriander leaves and serve with Steamed Rice or Phulkas.","salt,ginger,asafoetida (hing),coriander (dhania) leaves,red chilli powder,gram flour (besan),curd,curry leaves,onion,cumin seeds (jeera),garlic,coriander powder,potato (aloo),turmeric powder,green chillies,sunflower oil",16,455.4,2.78,0.56,49.08,0.63,0.56,30.12,7.77,0.26,46.64,48.57
Vegetable Fried Brown Rice Recipe,"Salt - as required,1/2 cup Green Bell Pepper (Capsicum) - chopped,2 tablespoons Garlic - chopped,Extra Virgin Olive Oil - as required,1 Onion - chopped,1 teaspoon Soy sauce,2 tablespoons Spring Onion Greens - chopped,1 teaspoon Vinegar,1 Green Chilli - chopped,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - chopped,1/2 cup Carrots (Gajjar) - chopped,1/2 teaspoon Ginger - freshly grated,1/2 cup Green beans (French Beans) - chopped,1 tablespoon Red Chilli sauce,2 cups Brown Rice - cooked,1 tablespoon Roasted tomato pasta sauce - or store bought",40,Chinese,"To begin making the Vegetable Fried Brown Rice recipe, collect all the ingredients on the kitchen platform before you start cooking.You can use fresh cooked brown rice or even the left over brown rice.Heat oil in heavy bottomed pan and add garlic and saute till golden in colour.Now add onion and green chilies and again saute for 2 to 3 minutes till the raw smell goes off.Add in the rest of the chopped vegetables and fry them all.Season with salt and black pepper and then add vinegar and the three sauces together.Cook for 2 to 3 minutes on low flame and then add the pre cooked brown rice and mix well such that the flavours incorporate well.Turn off the gas stove and garnish the brown fried rice with some fresh spring onion greens and coriander.Brown rice when teamed up with plenty of fine vegetables and tossed in olive oil and sauces to give a Chinese flavour.
Vegetable Fried Brown Rice dish makes an amazing rice meal that can be anytime enjoyed with any Chinese curry like Indo-Chinese Paneer Manchurian.","salt,green beans (french beans),brown rice,ginger,green chilli,spring onion greens,soy sauce,carrot,virgin olive oil,tomato pasta sauce store bought,garlic,onion,vinegar,green bell pepper (capsicum),red chilli sauce,cabbage (patta gobi muttaikose)",16,174.21,36.02,4.7,0.94,27.36,1.93,34.94,90.06,2.27,8.48,36.84
Eggless Devil's Food Cake Recipe,"2 cups All Purpose Flour (Maida),Chocolate ganache - as needed,2/3 cup Cocoa Powder,1-1/2 teaspoons Baking powder,3 Whole Eggs - or Flaxmeal Egg Replacer,3 tablespoons Flax seed powder (flax meal),1/4 teaspoon Salt,1/2 teaspoon Red Food Color - (only optional),3/4 cup Curd (Dahi / Yogurt),9 tablespoons Chilled water,1-1/2 teaspoon Vanilla Extract,3/4 cup Butter - softened,1-1/2 cups Caster Sugar",110,Continental,"To begin making the Rich Dark Devil's Food Cake Recipe, we will first preheat the oven to 180 C.
Grease and flour 2 - 8 inch cake round cake pans.
Keep aside.To make the Flax Meal Egg Replacer If your recipe asks for 3 eggs, measure 3 tablespoons of flax meal along with 9 tablespoons of water.
Stir well and let the mixture rest for about 15 minutes.
This process of resting helps the flax meal mixture develop a gelatinous consistency similar to eggs.To make the Batter Sift the flour, baking powder, salt and cocoa powder and keep aside.In a large bowl or the bowl of the stand mixer, beat in the softened butter, vanilla and sugar until light and fluffy.
Add an egg at a time, whisking it into the butter mixture until light and fluffy(if making eggless, add the flaxmeal egg replacer)Gradually add in the butter milk and food coloring.
And finally, gradually fold in the flour mixture and continue to fold until the mixture is well blended and smooth.Divide the chocolate cake batter into 2 greased baking pans and place in the preheated oven to bake for about 35 to 45 minutes, until a tester when inserted in the center comes out clean.Once the cakes are baked, remove them from the oven and cool them completely.
While the cake is cooling, prepare the Chocolate Ganache recipe.
Place one cake on the serving tray in which you plan to set the cake.
Spread a generous portion of the chocolate ganache on the top of the cake.
Place the other cake over the bottom one and lightly press down.
Finally cover the whole cake with the Chocolate Ganache including the sides and the top.
Refrigerate the cake for at least 4 to 5 hours.Serve the Rich Dark Chocolate Devils Food Cake along with a cup of coffee or as a dessert for parties.","baking powder,salt,chocolate ganache,flax seed powder (flax meal),water,curd,vanilla,eggs flaxmeal eggs replacer,caster sugar,cocoa powder,red food color (only ),flour (maida),butter",13,318.08,46.14,8.12,11.75,27.7,0.68,310.5,212.97,0.61,1.35,7.58
"Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe","250 grams Dry beans - (such as cannellini or soya beans),1 teaspoon Cumin powder (Jeera),1 cup Broccoli - cut into small florets,1 teaspoon Dried Thyme Leaves,1 teaspoon Butter,Salt - to taste,1/4 teaspoon Red Chilli powder - or cayenne pepper,Salt and Pepper - ,1 Onion - finely chopped,2 cloves Garlic - chopped,2 Chicken sausage,1 teaspoon Extra Virgin Olive Oil,1 clove Garlic - grated,1 tablespoon Honey - or more to taste,Black pepper powder - for seasoning,500 grams Tomatoes - pureed,1 teaspoon Dried oregano",40,Continental,"To begin making the Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe, we will first make the baked beans.
Soak the beans overnight for about 8 hours in water.We also have to make the cooked tomato puree.
Once the beans are soaked well, our next step is to cook them.
 Place the beans in the pressure, place the weight on, cover the pan and cook it along with 2-1/2 cups of water.
After 4 to 5 whistles, turn the heat to low and cook for another 15 minutes.Turn off the heat and allow the pressure cooker to release its pressure naturally.
This would take another 10 minutes.
The beans continue to cook under the pressure even when it is turned off.Once the pressure is released, open the cooker and drain out the excess liquids.
You store this liquid and use it in the vegetable stock or risotto.Once the beans are cooked, our next step is to spice it up to make the baked beans.Heat oil in a sauce pan on medium heat; add in the onions and garlic and give it a light sauté until the onions are tender.
Add the tomatoes, honey and the spices and give it a stir.Add in the cooked drained beans into the tomato gravy.
Stir fry the beans until the beans get well coated with the tomatoes.
Cover the pan, turn the heat to low and simmer the beans for about 30 minutes until you noticed the beans are well coated with the spices and tomatoes.
Check the salt and seasoning levels and adjust to suit your taste.To Stir fry the BroccoliHeat a sauce pan with oil, add garlic and sauté them till they soften.
Add broccoli and season it well with all the seasonings.Sprinkle little water and cook the broccoli for about 5 more minutes till they become quiet tender.
Check for salt and switch off the heat.To Cook the sausagesBefore you fry the sausages over a pan, make sure the sausages are not frozen and they are thawed well.Prick the sausages with the fork, place a wide pan with 1 inch water and butter.
Bring it to a boil.Once it begins to boil, place the sausages inside.
Keep turning them until all the water is evaporated and till you can deglaze the pan.
Brown the sausages well on all the sides.The sausages will take about 10 minutes to cook and you can serve it over a plate.To plate, place the sausages over the side, add baked beans, place the stir fried broccoli and keep a garlic bread next to it and serve.
Serve the Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe along with a glass of Cantaloupe Pomegranate and Mint Juice Recipe for your Sunday brunch.","chicken sausage,tomato,cumin powder (jeera),salt,red chilli powder cayenne pepper,cloves garlic,virgin olive oil,cloves garlic,onion,broccoli,thyme leaves,black pepper powder,pepper,dry beans (such cannellini soya beans),butter,dried oregano",16,119.56,5.34,7.97,7.57,2.49,1.92,104.01,73.36,0.78,79.81,105.46
Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),"1 teaspoons Turmeric powder (Haldi),1 cup Lotus Stem - sliced round,Sunflower Oil - for cooking,1 teaspoon Garam masala powder,Salt - to taste,1 teaspoon Cumin seeds (Jeera),4 Garlic,4 Green Chillies,2 Onions - roughly chopped,1 inch Ginger,1/4 teaspoon Asafoetida (hing),3 Potatoes (Aloo) - peeled and diced,1/2 cup Homemade tomato puree,4 sprig Coriander (Dhania) Leaves - finely chopped,2 teaspoons Coriander Powder (Dhania),1/2 teaspoon Red Chilli powder",45,North Indian Recipes,"To begin making the Aloo Bhey Ki Sabzi Recipe, we will first prep all the various components.First of all, place the ingredients listed under “Ingredients to be made into a paste” into a blender and grind them down into a smooth paste.
Pour it into a bowl and set it aside for later.Then add 3 small tomatoes into the blender and blend them to a puree.
Pour the puree into a bowl and set that aside too.Now to make the sabzi, heat some oil in a pressure cooker.
When it is warm enough, add asafetida and cumin seeds and let them crackle.Next add the prepared onion garlic paste and saute well for 3-4 minutes until the paste turns golden-brown and the raw smell goes away.Next add the red chilli powder, turmeric and coriander powder.
Top with salt and continue to cook for 2 minutes more.At this stage, when the masalas are all cooked through, pour in the prepared tomato puree and cook for another 3-4 minutes, stirring continuously, until you see oil leaving the sides of the pan.
This is an indication that the masalas are cooked through.Now add cubed potato and lotus stem rounds, stir well and cook for 2-3 minutes.Top it up with 2 cups of water and cover the pressure.
Allow the sabzi to cook covered for 2 whistles.Turn the heat off and allow the pressure to release natural.
When the weight can be lifted and the lid comes off with ease, open the cooked and simmer the sabzi for 5 minutes.
This will allow some excess water to evaporate.
At this stage you can taste for salt and spice and adjust both accordingly.When done, take the pressure cooked off the heat, pour the sabzi into a serving bowl and serve hot with Phulkas and Pumpkin Dal Tadka","tomato,salt,ginger,coriander powder,asafoetida (hing),red chilli powder,coriander (dhania) leaves,onion,cumin seeds (jeera),garlic,lotus stem,potato (aloo),turmeric powder,green chillies,garam masala powder,sunflower oil",16,89.56,10.42,1.52,4.47,1.58,2.42,78.4,23.74,0.97,42.18,35.58
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,"Salt - to sprinkle,2 Tomatoes - sliced thin into rounds,4 tablespoons Green Chutney (Coriander & Mint),Black pepper powder - to sprinkle,Chaat Masala Powder - to sprinkle,1 Cucumber - peeled and sliced into thin rounds,4 tablespoons Tomato Ketchup,2 tablespoons Butter,8 Whole Wheat Brown Bread",15,Indian,"To begin making the Classic Tomato Cucumber Chutney Sandwich with Chutney Recipe, arrange two slices of bread next to each other.Spread tomato ketchup on one slice and the Dhaniya Pudina Chutney on the other slice.
Arrange the sliced tomato & cucumber slices on one of slice.
Sprinkle some chaat masala powder, pepper powder and salt.
Close the sandwich with the other slice.Heat a grill sandwich maker, lightly spread butter on the outside and cook until  it turns golden brown, around 3-4 minutes or when the light turns off on the sandwich maker.If you don't have a sandwich maker, you can grill the sandwich on the tawa no medium heat until each one of the sides turn golden brown and crisp.
Once the Tomato Cucumber Chutney Sandwich is grilled well, place it on a platter and cut into triangles and serve.Serve the Classic Grilled Tomato Cucumber Chutney Sandwich for a quick weeknight dinner and serve it along with Indian Style Beetroot Soup Recipe and Bean Sprout & Corn Salad Recipe for a weeknight dinner, simple serve the sandwich along with a glass of Chikoo Banana Date Smoothie as an after school snack for kids.","tomato,wheat brown bread,salt,chaat masala powder,tomato ketchup,black pepper powder,cucumber,green chutney (coriander mint),butter",9,189.92,21.29,6.26,9.39,2.58,1.91,420.6,150.9,0.88,8.91,16.85
